marca,modelo,ano,quilometragem,preco,combustivel,car_documents,tipo,transmissão,year_range,km's driven_range,faixa_preco,faixa_preco_prevista,valor_estimado
Daihatsu,Terios Kid,2004,123123.0,142500,Gasolina,Original,Importado,Automatic,1,5,Econômico,Econômico,149497.18328086744
Daihatsu,Move,2013,73000.0,215000,Gasolina,Original,Importado,Automatic,4,3,Intermediário,Intermediário,245657.07356430945
Honda,Civic Prosmetic,2007,160000.0,167000,Gasolina,Original,Nacional,Automatic,2,6,Econômico,Econômico,149497.18328086744
Suzuki,Cultus VXR,2006,80000.0,900000,Gasolina,Original,Importado,Manual,2,3,Luxo,Luxo,681403.3241134752
Daihatsu,Mira,2011,115000.0,660000,Gasolina,Duplicate,Importado,Automatic,3,4,Luxo,Luxo,681403.3241134752
Honda,City IVTEC,2023,112076.0,340000,Gasolina,Original,Nacional,Manual,6,4,Premium,Premium,350855.0221465077
Toyota,Corolla XLI,2008,100000.0,192000,GNV,Original,Importado,Manual,2,4,Econômico,Econômico,149497.18328086744
Suzuki,Wagon R,2014,125000.0,160000,Gasolina,Original,Nacional,Manual,4,5,Econômico,Econômico,149497.18328086744
Hyundai,Santro,2007,84298.0,890000,Gasolina,Original,Nacional,Manual,2,3,Luxo,Luxo,681403.3241134752
Toyota,Corrolla Altis,2019,49000.0,447500,Gasolina,Original,Nacional,Automatic,5,2,Luxo,Luxo,681403.3241134752
Suzuki,Cultus VXR,2009,52000.0,105000,Gasolina,Original,Nacional,Manual,3,2,Econômico,Econômico,149497.18328086744
Honda,City Aspire,2021,75000.0,419900,Gasolina,Original,Nacional,Automatic,6,3,Luxo,Luxo,681403.3241134752
Suzuki,Mehran VXR,2009,96000.0,620000,Gasolina,Original,Nacional,Manual,3,4,Luxo,Luxo,681403.3241134752
Daihatsu,Cuore,2006,100000.0,100000,Gasolina,Original,Importado,Manual,2,4,Econômico,Luxo,681403.3241134752
Honda,Civic Prosmetic,2009,105700.0,182500,Gasolina,Original,Nacional,Automatic,3,4,Econômico,Econômico,149497.18328086744
Mitsubishi,Pajero Mini,2007,100000.0,102500,Gasolina,Original,Importado,Manual,2,4,Econômico,Econômico,149497.18328086744
Suzuki,Swift,2017,90000.0,210000,Gasolina,Original,Nacional,Manual,5,3,Intermediário,Intermediário,245657.07356430945
Toyota,Passo,2015,55600.0,309000,Gasolina,Original,Importado,Automatic,4,2,Premium,Premium,350855.0221465077
Honda,City IVTEC,2013,130000.0,265000,Gasolina,Original,Nacional,Automatic,4,5,Intermediário,Intermediário,245657.07356430945
Honda,City IVTEC,2013,85000.0,310000,Gasolina,Original,Nacional,Manual,4,3,Premium,Intermediário,245657.07356430945
KIA,Picanto,2021,14600.0,300000,Gasolina,Original,Nacional,Automatic,6,1,Intermediário,Intermediário,245657.07356430945
Daihatsu,Cuore,2007,100000.0,830000,Gasolina,Original,Importado,Manual,2,4,Luxo,Luxo,681403.3241134752
Suzuki,Bolan,2015,50000.0,950000,Gasolina,Original,Nacional,Manual,4,2,Luxo,Luxo,681403.3241134752
Honda,City Aspire,2021,64000.0,450000,Gasolina,Original,Nacional,Automatic,6,3,Luxo,Luxo,681403.3241134752
Suzuki,Alto,2012,58600.0,116500,Gasolina,Original,Nacional,Manual,3,2,Econômico,Econômico,149497.18328086744
Changan,Karvaan,2021,27000.0,225000,Gasolina,Original,Nacional,Manual,6,1,Intermediário,Intermediário,245657.07356430945
Suzuki,Swift,2016,92900.0,222500,Gasolina,Original,Nacional,Manual,4,4,Intermediário,Intermediário,245657.07356430945
Suzuki,Ravi,2015,65000.0,700000,Gasolina,Original,Nacional,Manual,4,3,Luxo,Luxo,681403.3241134752
Suzuki,Baleno,2005,109000.0,138000,Gasolina,Original,Nacional,Manual,2,4,Econômico,Econômico,149497.18328086744
FAW,X-PV,2016,156000.0,875000,Gasolina,Original,Importado,Manual,4,6,Luxo,Luxo,681403.3241134752
Daihatsu,Mira,2013,60000.0,220000,Gasolina,Original,Importado,Automatic,4,2,Intermediário,Intermediário,245657.07356430945
